r1x, r1y, r2x, r2y, w1x, w1y, w2x, w2y -> intersection, ray_distance, uv_x
e000, e000, e000, e000, e000, e000, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, e000, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, ffff, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, e000, 1ffe, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, e000, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, ffff, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, ffff, 1ffe, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, 1ffe, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, e000, 1ffe, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, e000, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, e000, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, e000, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, ffff, e000, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, ffff, ffff, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, ffff, 1ffe, 00000000, 00000000, 0, 0000, 00
e000, e000, e000, e000, 1ffe, ffff, 1ffe, e000, 00000000, 00000000, 0, 0000, 00
